Fastq,Number of reads,Total length,shortest,Longest,N50,N75,AuN,Raw number of reads,% reads filtered
prinseq/1068841_20180306_S_good_out_R1.fastq,"1,196,786","358,226,948",116,300,300,300,299,"1,208,215",99.05
prinseq/1068841_20180306_S_good_out_R2.fastq,"1,196,786","355,778,697",111,300,300,300,297,"1,208,215",99.05
prinseq/1112926_20171212_S_good_out_R1.fastq,"1,626,081","486,452,875",185,300,300,300,299,"1,647,260",98.71
prinseq/1112926_20171212_S_good_out_R2.fastq,"1,626,081","482,813,559",211,300,300,300,297,"1,647,260",98.71
prinseq/1128691_20171206_S_good_out_R1.fastq,"1,782,538","533,238,920",110,300,300,300,299,"1,802,254",98.91
prinseq/1128691_20171206_S_good_out_R2.fastq,"1,782,538","528,015,498",215,300,300,300,296,"1,802,254",98.91
prinseq/1128691_20171218_S_good_out_R1.fastq,"2,501,525","748,324,674",228,300,300,300,299,"2,534,567",98.70
prinseq/1128691_20171218_S_good_out_R2.fastq,"2,501,525","741,603,164",212,300,300,300,296,"2,534,567",98.70
prinseq/1128691_20180116_S_good_out_R1.fastq,"1,019,675","305,022,968",227,300,300,300,299,"1,030,797",98.92
prinseq/1128691_20180116_S_good_out_R2.fastq,"1,019,675","302,498,616",215,300,300,300,296,"1,030,797",98.92
prinseq/1162967_20180116_S_good_out_R1.fastq,"894,831","267,651,139",232,300,300,300,299,"904,043",98.98
prinseq/1162967_20180116_S_good_out_R2.fastq,"894,831","265,231,968",218,300,300,300,296,"904,043",98.98
prinseq/1255498_20171212_S_good_out_R1.fastq,"1,605,048","480,087,272",195,300,300,300,299,"1,626,970",98.65
prinseq/1255498_20171212_S_good_out_R2.fastq,"1,605,048","476,808,397",97,300,300,300,297,"1,626,970",98.65
prinseq/1282052_20180206_S_good_out_R1.fastq,"1,395,406","417,228,118",194,300,300,300,299,"1,419,925",98.27
prinseq/1282052_20180206_S_good_out_R2.fastq,"1,395,406","415,228,503",214,300,300,300,297,"1,419,925",98.27
prinseq/1316935_20180417_S_good_out_R1.fastq,"659,970","197,430,620",155,300,300,300,299,"667,249",98.91
prinseq/1316935_20180417_S_good_out_R2.fastq,"659,970","196,001,399",212,300,300,300,297,"667,249",98.91
prinseq/1316979_20171215_S_good_out_R1.fastq,"2,805,487","839,026,907",140,300,300,300,299,"2,865,250",97.91
prinseq/1316979_20171215_S_good_out_R2.fastq,"2,805,487","834,682,305",161,300,300,300,297,"2,865,250",97.91
prinseq/1447437_20171006_S_good_out_R1.fastq,"1,106,311","330,952,732",95,300,300,300,299,"1,119,480",98.82
prinseq/1447437_20171006_S_good_out_R2.fastq,"1,106,311","329,476,576",216,300,300,300,297,"1,119,480",98.82
prinseq/1465461_20180406_S_good_out_R1.fastq,"2,217,342","663,369,867",147,300,300,300,299,"2,245,677",98.74
prinseq/1465461_20180406_S_good_out_R2.fastq,"2,217,342","659,925,476",214,300,300,300,297,"2,245,677",98.74
prinseq/1470026_20180502_S_good_out_R1.fastq,"1,126,192","336,927,257",195,300,300,300,299,"1,140,774",98.72
prinseq/1470026_20180502_S_good_out_R2.fastq,"1,126,192","335,242,735",216,300,300,300,297,"1,140,774",98.72
prinseq/1565754_20171128_S_good_out_R1.fastq,"2,892,734","865,329,489",128,300,300,300,299,"2,931,260",98.69
prinseq/1565754_20171128_S_good_out_R2.fastq,"2,892,734","859,226,328",212,300,300,300,297,"2,931,260",98.69
prinseq/1565754_20180403_S_good_out_R1.fastq,"1,500,008","448,674,577",123,300,300,300,299,"1,523,427",98.46
prinseq/1565754_20180403_S_good_out_R2.fastq,"1,500,008","445,496,037",218,300,300,300,297,"1,523,427",98.46
prinseq/1586713_20180309_S_good_out_R1.fastq,"1,780,965","533,280,152",236,300,300,300,299,"1,801,920",98.84
prinseq/1586713_20180309_S_good_out_R2.fastq,"1,780,965","529,970,504",214,300,300,300,297,"1,801,920",98.84
prinseq/1593967_20180424_S_good_out_R1.fastq,"1,385,405","414,586,694",234,300,300,300,299,"1,402,272",98.80
prinseq/1593967_20180424_S_good_out_R2.fastq,"1,385,405","410,710,200",214,300,300,300,296,"1,402,272",98.80
prinseq/1593973_20180427_S_good_out_R1.fastq,"3,722,822","1,113,986,818",119,300,300,300,299,"3,778,675",98.52
prinseq/1593973_20180427_S_good_out_R2.fastq,"3,722,822","1,104,132,033",190,300,300,300,296,"3,778,675",98.52
prinseq/1593973_20180504_S_good_out_R1.fastq,"4,574,086","1,369,113,330",202,300,300,300,299,"4,652,570",98.31
prinseq/1593973_20180504_S_good_out_R2.fastq,"4,574,086","1,358,854,845",207,300,300,300,297,"4,652,570",98.31
prinseq/1598281_20180508_S_good_out_R1.fastq,"393,537","117,769,471",238,300,300,300,299,"397,933",98.90
prinseq/1598281_20180508_S_good_out_R2.fastq,"393,537","117,113,791",205,300,300,300,297,"397,933",98.90
prinseq/1651490_20171010_S_good_out_R1.fastq,"2,357,253","705,428,117",159,300,300,300,299,"2,390,459",98.61
prinseq/1651490_20171010_S_good_out_R2.fastq,"2,357,253","698,494,370",206,300,300,300,296,"2,390,459",98.61
prinseq/1651490_20180206_S_good_out_R1.fastq,"3,232,241","967,319,017",119,300,300,300,299,"3,285,653",98.37
prinseq/1651490_20180206_S_good_out_R2.fastq,"3,232,241","960,074,495",206,300,300,300,297,"3,285,653",98.37
prinseq/1658447_20171006_S_good_out_R1.fastq,"1,268,833","379,698,271",206,300,300,300,299,"1,283,217",98.88
prinseq/1658447_20171006_S_good_out_R2.fastq,"1,268,833","377,985,874",212,300,300,300,298,"1,283,217",98.88
prinseq/1664053_20180406_S_good_out_R1.fastq,"424,752","127,117,940",244,300,300,300,299,"427,480",99.36
prinseq/1664053_20180406_S_good_out_R2.fastq,"424,752","126,158,935",213,300,300,300,297,"427,480",99.36
prinseq/1690154_20180406_S_good_out_R1.fastq,"1,353,039","405,016,014",244,300,300,300,299,"1,366,682",99.00
prinseq/1690154_20180406_S_good_out_R2.fastq,"1,353,039","402,825,967",219,300,300,300,297,"1,366,682",99.00
prinseq/1723809_20180227_S_good_out_R1.fastq,"876,652","262,276,928",185,300,300,300,299,"882,835",99.30
prinseq/1723809_20180227_S_good_out_R2.fastq,"876,652","261,535,728",149,300,300,300,298,"882,835",99.30
prinseq/1834617_20180501_S_good_out_R1.fastq,"1,584,524","473,998,900",125,300,300,300,299,"1,601,369",98.95
prinseq/1834617_20180501_S_good_out_R2.fastq,"1,584,524","471,647,898",213,300,300,300,297,"1,601,369",98.95
prinseq/1845116_20180403_S_good_out_R1.fastq,"694,673","207,898,870",242,300,300,300,299,"698,484",99.45
prinseq/1845116_20180403_S_good_out_R2.fastq,"694,673","206,634,636",218,300,300,300,297,"698,484",99.45
prinseq/1862551_20180123_S_good_out_R1.fastq,"383,434","114,759,084",242,300,300,300,299,"385,762",99.40
prinseq/1862551_20180123_S_good_out_R2.fastq,"383,434","113,856,584",222,300,300,300,297,"385,762",99.40
prinseq/623361_20180123_S_good_out_R1.fastq,"536,624","160,677,614",153,300,300,300,299,"538,797",99.60
prinseq/623361_20180123_S_good_out_R2.fastq,"536,624","159,759,514",219,300,300,300,297,"538,797",99.60
prinseq/634207_20180510_S_good_out_R1.fastq,"1,327,048","397,117,213",164,300,300,300,299,"1,337,274",99.24
prinseq/634207_20180510_S_good_out_R2.fastq,"1,327,048","394,805,321",215,300,300,300,297,"1,337,274",99.24
prinseq/634207_20180517_S_good_out_R1.fastq,"857,829","256,770,614",249,300,300,300,299,"865,819",99.08
prinseq/634207_20180517_S_good_out_R2.fastq,"857,829","255,746,905",222,300,300,300,298,"865,819",99.08
prinseq/639354_20171206_S_good_out_R1.fastq,"2,050,351","613,742,004",127,300,300,300,299,"2,079,166",98.61
prinseq/639354_20171206_S_good_out_R2.fastq,"2,050,351","607,114,612",213,300,300,300,296,"2,079,166",98.61
prinseq/642660_20180601_S_good_out_R1.fastq,"2,198,138","657,697,233",232,300,300,300,299,"2,217,198",99.14
prinseq/642660_20180601_S_good_out_R2.fastq,"2,198,138","653,829,104",210,300,300,300,297,"2,217,198",99.14
prinseq/650003_20180207_S_good_out_R1.fastq,"2,471,788","739,975,834",234,300,300,300,299,"2,513,331",98.35
prinseq/650003_20180207_S_good_out_R2.fastq,"2,471,788","734,268,445",207,300,300,300,297,"2,513,331",98.35
prinseq/650003_20180213_S_good_out_R1.fastq,"918,813","274,965,606",146,300,300,300,299,"926,452",99.18
prinseq/650003_20180213_S_good_out_R2.fastq,"918,813","273,249,640",218,300,300,300,297,"926,452",99.18
prinseq/652927_20180226_S_good_out_R1.fastq,"1,248,463","374,044,110",93,300,300,300,299,"1,256,610",99.35
prinseq/652927_20180226_S_good_out_R2.fastq,"1,248,463","372,015,756",216,300,300,300,298,"1,256,610",99.35
prinseq/658355_20170925_S_good_out_R1.fastq,"146,299","43,825,022",264,300,300,300,299,"147,386",99.26
prinseq/658355_20170925_S_good_out_R2.fastq,"146,299","43,512,648",223,300,300,300,297,"147,386",99.26
prinseq/658355_20171204_S_good_out_R1.fastq,"1,821,729","545,403,055",246,300,300,300,299,"1,837,523",99.14
prinseq/658355_20171204_S_good_out_R2.fastq,"1,821,729","542,612,981",220,300,300,300,297,"1,837,523",99.14
prinseq/658355_20180122_S_good_out_R1.fastq,"620,780","185,814,440",216,300,300,300,299,"624,994",99.33
prinseq/658355_20180122_S_good_out_R2.fastq,"620,780","184,860,534",217,300,300,300,297,"624,994",99.33
prinseq/658355_20180301_S_good_out_R1.fastq,"774,832","231,829,448",247,300,300,300,299,"780,251",99.31
prinseq/658355_20180301_S_good_out_R2.fastq,"774,832","230,346,669",212,300,300,300,297,"780,251",99.31
prinseq/658355_20180321_S_good_out_R1.fastq,"1,258,846","376,888,773",235,300,300,300,299,"1,275,390",98.70
prinseq/658355_20180321_S_good_out_R2.fastq,"1,258,846","375,185,694",220,300,300,300,298,"1,275,390",98.70
prinseq/670829_20170922_S_good_out_R1.fastq,"1,094,767","327,884,687",238,300,300,300,299,"1,103,514",99.21
prinseq/670829_20170922_S_good_out_R2.fastq,"1,094,767","325,705,000",216,300,300,300,297,"1,103,514",99.21
prinseq/670829_20171001_S_good_out_R1.fastq,"996,689","298,215,710",230,300,300,300,299,"1,009,615",98.72
prinseq/670829_20171001_S_good_out_R2.fastq,"996,689","296,091,112",214,300,300,300,297,"1,009,615",98.72
prinseq/670829_20171005_S_good_out_R1.fastq,"2,073,669","620,366,078",158,300,300,300,299,"2,104,271",98.55
prinseq/670829_20171005_S_good_out_R2.fastq,"2,073,669","616,892,776",179,300,300,300,297,"2,104,271",98.55
prinseq/670829_20180201_S_good_out_R1.fastq,"1,327,280","396,896,503",141,300,300,300,299,"1,343,327",98.81
prinseq/670829_20180201_S_good_out_R2.fastq,"1,327,280","394,653,228",212,300,300,300,297,"1,343,327",98.81
prinseq/673895_20180122_S_good_out_R1.fastq,"1,211,495","362,463,710",237,300,300,300,299,"1,236,056",98.01
prinseq/673895_20180122_S_good_out_R2.fastq,"1,211,495","359,563,578",183,300,300,300,296,"1,236,056",98.01
prinseq/673895_20180205_S_good_out_R1.fastq,"2,878,505","861,140,320",204,300,300,300,299,"2,917,918",98.65
prinseq/673895_20180205_S_good_out_R2.fastq,"2,878,505","852,630,264",206,300,300,300,296,"2,917,918",98.65
prinseq/676138_20171001_S_good_out_R1.fastq,"1,065,396","318,849,858",232,300,300,300,299,"1,077,150",98.91
prinseq/676138_20171001_S_good_out_R2.fastq,"1,065,396","315,601,983",218,300,300,300,296,"1,077,150",98.91
prinseq/676138_20171009_S_good_out_R1.fastq,"1,112,715","333,158,322",226,300,300,300,299,"1,129,179",98.54
prinseq/676138_20171009_S_good_out_R2.fastq,"1,112,715","330,971,032",219,300,300,300,297,"1,129,179",98.54
prinseq/676138_20180130_S_good_out_R1.fastq,"705,286","211,188,668",142,300,300,300,299,"707,561",99.68
prinseq/676138_20180130_S_good_out_R2.fastq,"705,286","210,278,492",130,300,300,300,298,"707,561",99.68
prinseq/676138_20180323_S_good_out_R1.fastq,"652,434","195,344,013",211,300,300,300,299,"659,202",98.97
prinseq/676138_20180323_S_good_out_R2.fastq,"652,434","193,664,203",214,300,300,300,297,"659,202",98.97
prinseq/676138_20180405_S_good_out_R1.fastq,"1,616,768","484,542,580",236,300,300,300,299,"1,636,193",98.81
prinseq/676138_20180405_S_good_out_R2.fastq,"1,616,768","482,240,093",214,300,300,300,298,"1,636,193",98.81
prinseq/698564_20171001_S_good_out_R1.fastq,"434,993","130,113,229",236,300,300,300,299,"441,223",98.59
prinseq/698564_20171001_S_good_out_R2.fastq,"434,993","128,142,840",212,300,300,300,294,"441,223",98.59
prinseq/698564_20180215_S_good_out_R1.fastq,"256,597","76,802,872",242,300,300,300,299,"260,065",98.67
prinseq/698564_20180215_S_good_out_R2.fastq,"256,597","76,219,102",221,300,300,300,297,"260,065",98.67
prinseq/698564_20181205_S_good_out_R1.fastq,"679,986","203,448,314",235,300,300,300,299,"688,847",98.71
prinseq/698564_20181205_S_good_out_R2.fastq,"679,986","201,905,705",216,300,300,300,297,"688,847",98.71
prinseq/698917_20171207_S_good_out_R1.fastq,"2,023,625","605,192,653",90,300,300,300,299,"2,039,006",99.25
prinseq/698917_20171207_S_good_out_R2.fastq,"2,023,625","600,033,758",166,300,300,300,296,"2,039,006",99.25
prinseq/698917_20180119_S_good_out_R1.fastq,"2,996,284","895,947,466",159,300,300,300,299,"3,039,494",98.58
prinseq/698917_20180119_S_good_out_R2.fastq,"2,996,284","886,704,839",207,300,300,300,296,"3,039,494",98.58
prinseq/698917_20180128_S_good_out_R1.fastq,"547,047","163,655,632",219,300,300,300,299,"551,415",99.21
