gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	locus_tag
phage_comp_0_cycle_1_CDS_0001	1	219	+	phage_comp_0_cycle_1	-33.541703611259294	25370	68.0	0.716	3.843e-17	p432599 VI_04995	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0001
phage_comp_0_cycle_1_CDS_0002	234	431	+	phage_comp_0_cycle_1	-6.633521133584756	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0002
phage_comp_0_cycle_1_CDS_0003	412	531	+	phage_comp_0_cycle_1	-16.495557850615338	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0003
phage_comp_0_cycle_1_CDS_0004	574	720	+	phage_comp_0_cycle_1	-10.494429436580203	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0004
phage_comp_0_cycle_1_CDS_0005	990	763	-	phage_comp_0_cycle_1	-9.31548589762924	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0005
phage_comp_0_cycle_1_CDS_0006	1126	1037	-	phage_comp_0_cycle_1	-0.051881707632018	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0006
phage_comp_0_cycle_1_CDS_0007	1196	1360	+	phage_comp_0_cycle_1	-30.559903862257237	216	56.0	0.562	2.957e-10	p381219 VI_06799	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0007
phage_comp_0_cycle_1_CDS_0008	1456	1566	+	phage_comp_0_cycle_1	-1.2853860432946496	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0008
phage_comp_0_cycle_1_CDS_0009	1586	1741	+	phage_comp_0_cycle_1	-9.651983344812125	7269	63.0	0.604	2.862e-14	p209079 VI_03929	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0009
phage_comp_0_cycle_1_CDS_0010	1843	1944	+	phage_comp_0_cycle_1	-1.3218955437808808	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_0_cycle_1_CDS_0010
