"ACC_NUCCORE","Contig","bin","coeffvars","counts","means","sdv","max_cov","min_cov","order","Description","length","classification","bin_length","Species","mash_dist","sig","mash_hits","UID_NUCCORE","Description_NUCCORE","CreateDate_NUCCORE","Topology_NUCCORE","Completeness_NUCCORE","TaxonID_NUCCORE","Genome_NUCCORE","Length_NUCCORE","Source_NUCCORE","UID_ASSEMBLY","Status_ASSEMBLY","SeqReleaseDate_ASSEMBLY","SubmissionDate_ASSEMBLY","Latest_ASSEMBLY","UID_BIOSAMPLE","ACC_BIOSAMPLE","Location_BIOSAMPLE","Coordinates_BIOSAMPLE","IsolationSource_BIOSAMPLE","Host_BIOSAMPLE","CollectionDate_BIOSAMPLE","Host_DISEASE","SamplType_BIOSAMPLE","taxon_name","taxon_rank","lineage","taxon_species_id","taxon_species_name","taxon_genus_id","taxon_genus_name","taxon_family_id","taxon_family_name","taxon_order_id","taxon_order_name","taxon_class_id","taxon_class_name","taxon_phylum_id","taxon_phylum_name","taxon_superkingdom_id","taxon_superkingdom_name","loc_lat","loc_lng","loc_parsed","GC_NUCCORE","Identical","OldVersion","hits_rMLST","hitscount_rMLST","inclusions","Host_BIOSAMPLE_processed","Host_DISEASE_processed","D1","D2","plasmidfinder","pmlst","relaxase_type.s.","mpf_type"
"CP002035.1","contig_7936","bin_38",6.87229669699712,4,0.780307703741594,5.36250605506477,41.8308697514996,0,"order","Lactobacillales",32707,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri",20557057,"s__Lactobacillus gasseri",0.0392331,"0","281/1000",300215290,"Lactobacillus salivarius CECT 5713 plasmid pHN1, complete sequence","2010/07/07","circular","complete",712961,"plasmid",44581,"INSDC",375438,"Complete Genome","2010/07/07 00:00","2010/07/07 00:00","True",2604101,"SAMN02604101","","","","","","","","Ligilactobacillus salivarius CECT 5713","strain","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Ligilactobacillus; Ligilactobacillus salivarius",1624,"Ligilactobacillus salivarius",2767887,"Ligilactobacillus",33958,"Lactobacillaceae",186826,"Lactobacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",NA,NA,"",39.4315964199995,"","","",0,"","","",14.448847,4.9143753,"","","MOBQ",""
"CP012895.1","contig_5948","bin_38",5.74557135468236,9,0.953476062771344,5.47826475363435,41.2786398873409,0,"superkingdom","Bacteria",5108,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri",20557057,"s__Lactobacillus gasseri",0.0848014,"0","92/1000",938167629,"Lactobacillus gallinarum strain HFD4 plasmid pMKG05, complete sequence","2015/10/14","circular","complete",52242,"plasmid",2662,"INSDC",764341,"Complete Genome","2015/10/14 00:00","2015/10/14 00:00","True",4121884,"SAMN04121884","India:Kangra, Himachal Pradesh","32.08 N 76.31999999999994 E","faecal sample","","2014-11-29","","mixed culture","Lactobacillus gallinarum","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus",52242,"Lactobacillus gallinarum",1578,"Lactobacillus",33958,"Lactobacillaceae",186826,"Lactobacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",32.08,76.3199999999999,"",39.3313298271976,"","","",0,"","","",14.374986,5.2524176,"","","",""
"CP027487.1","contig_23385","bin_70",4.82754225548499,10,4.8168036774876,23.2533232894469,162.767517678869,0,"no rank","root",3050,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis",4231354,"s__Staphylococcus epidermidis",0.0733545,"0","120/1000",1365302975,"Staphylococcus aureus strain ST2594 isolate 004 plasmid unnamed2","2018/03/19","linear","",1280,"plasmid",1469,"INSDC",1635901,"Complete Genome","2018/03/19 00:00","2018/03/19 00:00","True",8634544,"SAMN08634544","Brazil: Rio de Janeiro","22.8951 S 43.2431 W","Femural surgical wound","Homo sapiens","2015-03-11","Surgical Wound Infection","","Staphylococcus aureus","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus",1280,"Staphylococcus aureus",1279,"Staphylococcus",90964,"Staphylococcaceae",1385,"Bacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",-22.8951,-43.2431,"",30.5650102110279,"","","",0,"","Homo sapiens","",-4.5607996,7.4819484,"","","",""
"CP027488.1","contig_16245","bin_66",4.02389461139394,16,1.37638832764658,5.53844157480257,38.2038822570712,0,"no rank","root",9921,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__",3932897,"s__",0.035622,"0","310/1000",1365302978,"Staphylococcus aureus strain ST2594 isolate 004 plasmid unnamed3","2018/03/19","linear","",1280,"plasmid",2687,"INSDC",1635901,"Complete Genome","2018/03/19 00:00","2018/03/19 00:00","True",8634544,"SAMN08634544","Brazil: Rio de Janeiro","22.8951 S 43.2431 W","Femural surgical wound","Homo sapiens","2015-03-11","Surgical Wound Infection","","Staphylococcus aureus","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus",1280,"Staphylococcus aureus",1279,"Staphylococcus",90964,"Staphylococcaceae",1385,"Bacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",-22.8951,-43.2431,"",38.6676590993673,"","","",0,"","Homo sapiens","",-5.2505145,7.963785,"","","",""
"CP030425.1","contig_18539","bin_70",6.46998253901492,12,7.81293113218614,50.5495280037704,393.565411813644,0,"superkingdom","Bacteria",5675,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis",4231354,"s__Staphylococcus epidermidis",0.0608169,"0","162/1000",1760094410,"Staphylococcus aureus strain ER00551.3 plasmid unnamed1, complete sequence","2019/10/10","circular","complete",1280,"plasmid",17543,"INSDC",4842631,"Complete Genome","2019/10/10 00:00","2019/10/10 00:00","True",9483922,"SAMN09483922","USA:New York City","40.7903114 N 73.9528738 W","blood","Homo sapiens","2015","Bacteremia","","Staphylococcus aureus","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus",1280,"Staphylococcus aureus",1279,"Staphylococcus",90964,"Staphylococcaceae",1385,"Bacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",40.7903114,-73.9528738,"",28.8833152824488,"","","",0,"","Homo sapiens","",-4.9511056,7.853407,"rep19_3_CDS20(pSJH901), CP000704, |rep16_2_CDS6(pSJH101), CP000737, ","","",""
"CP033375.1","contig_18712","bin_38",5.89030776047402,5,4.4669549917922,26.3117396538418,201.038312112308,0,"superkingdom","Bacteria",8217,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri",20557057,"s__Lactobacillus gasseri",0.0723061,"0","123/1000",1508761582,"Limosilactobacillus fermentum strain DR9 plasmid unnamed4, complete sequence","2018/11/04","circular","complete",1613,"plasmid",27672,"INSDC",2067621,"Complete Genome","2018/11/04 00:00","2018/11/04 00:00","True",9701875,"SAMN09701875","Malaysia: Penang","","Fresh milk","Cow","2016-09-01","","cell culture","Limosilactobacillus fermentum","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus",1613,"Limosilactobacillus fermentum",2742598,"Limosilactobacillus",33958,"Lactobacillaceae",186826,"Lactobacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",5.4065013,100.2559077,"Malaysia,Penang",40.7090199479618,"","","",0,"","Bos taurus","",14.502112,5.12968,"","","",""
"CP052965.1","contig_15694","bin_71",7.08694165677395,16,15.7270240677504,111.456502002827,870.909071717233,0,"superkingdom","Bacteria",21399,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__",1307663,"s__",0.000956583,"0","961/1000",1979660421,"Staphylococcus epidermidis strain HD40-5 plasmid pHD40-5_2, complete sequence","2021/02/09","circular","complete",1282,"plasmid",22322,"INSDC",9266371,"Complete Genome","2021/02/09 00:00","2021/02/09 00:00","True",14732900,"SAMN14732900","Germany: Hamburg","53.33 N 10.1 E","nose; prosthetic joint infection","Homo sapiens","2018","Prosthesis Related Infections","","Staphylococcus epidermidis","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus",1282,"Staphylococcus epidermidis",1279,"Staphylococcus",90964,"Staphylococcaceae",1385,"Bacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",53.33,10.1,"",29.8449959681032,"","","",0,"","Homo sapiens","",-4.293198,8.038051,"rep20_12_repA(SAP105B), GQ900453, |repUS12_1_rep(pUB110), AF181950, ","","MOBV,MOBV",""
"CP052965.1","contig_25185","bin_71",4.85007388050494,14,52.5195631531478,254.723761464612,1744.23671373142,0,"class","Bacilli",17529,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__",1307663,"s__",0.0433296,"0","252/1000",1979660421,"Staphylococcus epidermidis strain HD40-5 plasmid pHD40-5_2, complete sequence","2021/02/09","circular","complete",1282,"plasmid",22322,"INSDC",9266371,"Complete Genome","2021/02/09 00:00","2021/02/09 00:00","True",14732900,"SAMN14732900","Germany: Hamburg","53.33 N 10.1 E","nose; prosthetic joint infection","Homo sapiens","2018","Prosthesis Related Infections","","Staphylococcus epidermidis","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus",1282,"Staphylococcus epidermidis",1279,"Staphylococcus",90964,"Staphylococcaceae",1385,"Bacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",53.33,10.1,"",29.8449959681032,"","","",0,"","Homo sapiens","",-4.293198,8.038051,"rep20_12_repA(SAP105B), GQ900453, |repUS12_1_rep(pUB110), AF181950, ","","MOBV,MOBV",""
"CP052970.1","contig_20478","bin_66",7.47546144223304,13,3.09903022920439,23.1666809867321,180.977631808659,0,"no rank","root",2330,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__",3932897,"s__",0.0026025,"0","899/1000",1979667121,"Staphylococcus epidermidis strain HD33-3 plasmid pHD33-3_1, complete sequence","2021/02/09","circular","complete",1282,"plasmid",2241,"INSDC",9266391,"Complete Genome","2021/02/09 00:00","2021/02/09 00:00","True",14732898,"SAMN14732898","Germany: Hamburg","53.33 N 10.1 E","nose; prosthetic joint infection","Homo sapiens","2018","Prosthesis Related Infections","","Staphylococcus epidermidis","species","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus",1282,"Staphylococcus epidermidis",1279,"Staphylococcus",90964,"Staphylococcaceae",1385,"Bacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",53.33,10.1,"",30.2543507362784,"","","",0,"","Homo sapiens","",11.675912,6.957747,"rep21_1_rep(pWBG754), GQ900396, ","","",""
"HE613570.1","contig_20617","bin_51",3.09448622357735,36,25.8633763254989,80.0338617344527,380.437359221773,0,"family","Streptococcaceae",32248,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__",1627550,"s__",0.0987984,"0","67/1000",372285142,"Streptococcus macedonicus ACA-DC 198 plasmid pSMA198, complete genome","2012/01/16","circular","complete",1116231,"plasmid",12728,"INSDC",406838,"Complete Genome","2012/01/16 00:00","2012/01/16 00:00","True",2483829,"SAMEA2272145","","","traditional greek kasseri cheese","","","","","Streptococcus macedonicus ACA-DC 198","strain","cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus macedonicus",59310,"Streptococcus macedonicus",1301,"Streptococcus",1300,"Streptococcaceae",186826,"Lactobacillales",91061,"Bacilli",1239,"Firmicutes",2,"Bacteria",NA,NA,"",35.0408548082967,"","","",0,"","","",-0.35930425,7.451893,"rep33_1_rep(pSMA198), HE613570, ","","MOBP",""
