locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIPHENGE_00001	CDS	315				hypothetical protein
KIPHENGE_00002	CDS	288				hypothetical protein
KIPHENGE_00003	CDS	1179				hypothetical protein
KIPHENGE_00004	CDS	117				hypothetical protein
KIPHENGE_00005	CDS	282				hypothetical protein
KIPHENGE_00006	CDS	222				hypothetical protein
KIPHENGE_00007	CDS	156				hypothetical protein
KIPHENGE_00008	CDS	1068	bspRIM	2.1.1.37		Modification methylase BspRI
KIPHENGE_00009	CDS	1260	haeIIIM_1	2.1.1.37		Modification methylase HaeIII
KIPHENGE_00010	CDS	1017				hypothetical protein
KIPHENGE_00011	CDS	1833				hypothetical protein
KIPHENGE_00012	CDS	735				hypothetical protein
KIPHENGE_00013	CDS	1440				hypothetical protein
KIPHENGE_00014	CDS	381				hypothetical protein
KIPHENGE_00015	CDS	366				hypothetical protein
KIPHENGE_00016	CDS	486				hypothetical protein
KIPHENGE_00017	CDS	504				hypothetical protein
KIPHENGE_00018	tRNA	71				tRNA-Glu(ttc)
KIPHENGE_00019	CDS	564				hypothetical protein
KIPHENGE_00020	CDS	156				hypothetical protein
KIPHENGE_00021	tRNA	78				tRNA-Leu(taa)
KIPHENGE_00022	CDS	351				hypothetical protein
KIPHENGE_00023	CDS	585				hypothetical protein
KIPHENGE_00024	CDS	504				hypothetical protein
KIPHENGE_00025	CDS	486				hypothetical protein
KIPHENGE_00026	CDS	357				hypothetical protein
KIPHENGE_00027	CDS	279	xerC_1			Tyrosine recombinase XerC
KIPHENGE_00028	CDS	825				hypothetical protein
KIPHENGE_00029	CDS	519				hypothetical protein
KIPHENGE_00030	CDS	1566				hypothetical protein
KIPHENGE_00031	CDS	666				hypothetical protein
KIPHENGE_00032	CDS	1539				hypothetical protein
KIPHENGE_00033	CDS	969				hypothetical protein
KIPHENGE_00034	CDS	780				hypothetical protein
KIPHENGE_00035	CDS	1065				hypothetical protein
KIPHENGE_00036	tRNA	78				tRNA-Leu(taa)
KIPHENGE_00037	rRNA	1330				16S ribosomal RNA
KIPHENGE_00038	rRNA	2883				23S ribosomal RNA
KIPHENGE_00039	rRNA	111				5S ribosomal RNA
KIPHENGE_00040	tRNA	75				tRNA-Asn(gtt)
KIPHENGE_00041	tRNA	92				tRNA-Ser(gga)
KIPHENGE_00042	tRNA	74				tRNA-Glu(ttc)
KIPHENGE_00043	tRNA	75				tRNA-Val(tac)
KIPHENGE_00044	tRNA	75				tRNA-Asp(gtc)
KIPHENGE_00045	tRNA	75				tRNA-Phe(gaa)
KIPHENGE_00046	tRNA	84				tRNA-Tyr(gta)
KIPHENGE_00047	tRNA	73				tRNA-Trp(cca)
KIPHENGE_00048	tRNA	75				tRNA-His(gtg)
KIPHENGE_00049	tRNA	74				tRNA-Gln(ttg)
KIPHENGE_00050	tRNA	72				tRNA-Cys(gca)
KIPHENGE_00051	tRNA	86				tRNA-Leu(caa)
KIPHENGE_00052	CDS	246	pflB_1	2.3.1.54		Formate acetyltransferase
KIPHENGE_00053	CDS	897	rhaR_1			HTH-type transcriptional activator RhaR
KIPHENGE_00054	CDS	1314	ngcE			Diacetylchitobiose binding protein NgcE
KIPHENGE_00055	CDS	894	ngcF		COG1175	Diacetylchitobiose uptake system permease protein NgcF
KIPHENGE_00056	CDS	864	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
KIPHENGE_00057	CDS	120				hypothetical protein
KIPHENGE_00058	CDS	1350	lnpA	2.4.1.211		1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
KIPHENGE_00059	CDS	798		2.4.1.211		1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
KIPHENGE_00060	CDS	183				hypothetical protein
KIPHENGE_00061	CDS	882	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
KIPHENGE_00062	CDS	708	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
KIPHENGE_00063	CDS	1167	agaS	3.5.99.-	COG2222	Putative D-galactosamine-6-phosphate deaminase AgaS
KIPHENGE_00064	CDS	1149	agaA_1	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
KIPHENGE_00065	CDS	996	lacD2	4.1.2.40	COG3684	Tagatose 1,6-diphosphate aldolase 2
