locus_tag	ftype	length_bp	gene	EC_number	COG	product
MEIMHKMB_00001	CDS	789				hypothetical protein
MEIMHKMB_00002	CDS	912	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MEIMHKMB_00003	CDS	273				hypothetical protein
MEIMHKMB_00004	CDS	1125	intQ		COG0582	Putative defective protein IntQ
MEIMHKMB_00005	CDS	519				hypothetical protein
MEIMHKMB_00006	CDS	657	lexA_1	3.4.21.88		LexA repressor
MEIMHKMB_00007	CDS	201				hypothetical protein
MEIMHKMB_00008	CDS	315				hypothetical protein
MEIMHKMB_00009	CDS	291				hypothetical protein
MEIMHKMB_00010	CDS	681				hypothetical protein
MEIMHKMB_00011	CDS	384				hypothetical protein
MEIMHKMB_00012	CDS	375				hypothetical protein
MEIMHKMB_00013	CDS	927	dnaI_1		COG1484	Primosomal protein DnaI
MEIMHKMB_00014	CDS	357				hypothetical protein
MEIMHKMB_00015	CDS	444	ssb_1		COG0629	Single-stranded DNA-binding protein
MEIMHKMB_00016	CDS	234				hypothetical protein
MEIMHKMB_00017	CDS	624				hypothetical protein
MEIMHKMB_00018	CDS	303				hypothetical protein
MEIMHKMB_00019	CDS	243				hypothetical protein
MEIMHKMB_00020	CDS	243	nrdH_1		COG0695	Glutaredoxin-like protein NrdH
MEIMHKMB_00021	CDS	621				hypothetical protein
MEIMHKMB_00022	CDS	351				hypothetical protein
MEIMHKMB_00023	CDS	183				hypothetical protein
MEIMHKMB_00024	CDS	426				hypothetical protein
MEIMHKMB_00025	CDS	234				hypothetical protein
MEIMHKMB_00026	CDS	378				hypothetical protein
MEIMHKMB_00027	CDS	480				hypothetical protein
MEIMHKMB_00028	CDS	387				hypothetical protein
MEIMHKMB_00029	CDS	237				hypothetical protein
MEIMHKMB_00030	CDS	141				hypothetical protein
MEIMHKMB_00031	CDS	213				hypothetical protein
MEIMHKMB_00032	CDS	258				hypothetical protein
MEIMHKMB_00033	CDS	216				hypothetical protein
MEIMHKMB_00034	CDS	141				hypothetical protein
MEIMHKMB_00035	CDS	141				hypothetical protein
MEIMHKMB_00036	CDS	222				hypothetical protein
MEIMHKMB_00037	CDS	534	pdhC_1	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MEIMHKMB_00038	CDS	1407	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
MEIMHKMB_00039	CDS	1026				hypothetical protein
MEIMHKMB_00040	CDS	525	pyrR		COG2065	Bifunctional protein PyrR
MEIMHKMB_00041	CDS	882	pyrB	2.1.3.2		Aspartate carbamoyltransferase
MEIMHKMB_00042	CDS	1278	pyrC	3.5.2.3		Dihydroorotase
MEIMHKMB_00043	CDS	1101	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
MEIMHKMB_00044	CDS	564	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
MEIMHKMB_00045	CDS	2520	carB_2	6.3.5.5		Carbamoyl-phosphate synthase large chain
MEIMHKMB_00046	CDS	714	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MEIMHKMB_00047	CDS	621	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
MEIMHKMB_00048	CDS	312				hypothetical protein
MEIMHKMB_00049	CDS	813	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
MEIMHKMB_00050	CDS	1836	typA		COG1217	GTP-binding protein TypA/BipA
MEIMHKMB_00051	CDS	687	dnaD		COG3935	DNA replication protein DnaD
MEIMHKMB_00052	CDS	390				hypothetical protein
MEIMHKMB_00053	CDS	1863	thiK	2.7.1.89		Thiamine kinase
MEIMHKMB_00054	CDS	936				hypothetical protein
MEIMHKMB_00055	CDS	693	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
MEIMHKMB_00056	CDS	708	tarI	2.7.7.40	COG1211	Ribitol-5-phosphate cytidylyltransferase
MEIMHKMB_00057	CDS	1029	tarJ	1.1.1.405	COG1063	Ribulose-5-phosphate reductase
MEIMHKMB_00058	CDS	837				hypothetical protein
MEIMHKMB_00059	CDS	1713		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
MEIMHKMB_00060	CDS	1875	ettA		COG0488	Energy-dependent translational throttle protein EttA
MEIMHKMB_00061	CDS	813	thyA	2.1.1.45	COG0207	Thymidylate synthase
MEIMHKMB_00062	CDS	510	folA	1.5.1.3		Dihydrofolate reductase
MEIMHKMB_00063	CDS	942	pip	3.4.11.5		Proline iminopeptidase
MEIMHKMB_00064	CDS	873	efeO		COG2822	Iron uptake system component EfeO
MEIMHKMB_00065	CDS	1242	efeN	1.11.1.-	COG2837	putative deferrochelatase/peroxidase EfeN
MEIMHKMB_00066	CDS	1728				hypothetical protein
MEIMHKMB_00067	CDS	738	tatC1		COG0805	Sec-independent protein translocase protein TatCd
MEIMHKMB_00068	CDS	183	tatAd			Sec-independent protein translocase protein TatAd
MEIMHKMB_00069	CDS	828	yckB		COG0834	putative ABC transporter extracellular-binding protein YckB
MEIMHKMB_00070	CDS	690	yecS		COG0765	L-cystine transport system permease protein YecS
MEIMHKMB_00071	CDS	453				hypothetical protein
MEIMHKMB_00072	CDS	414				hypothetical protein
MEIMHKMB_00073	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
MEIMHKMB_00074	CDS	753	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
MEIMHKMB_00075	CDS	396	lrgA		COG1380	Antiholin-like protein LrgA
MEIMHKMB_00076	CDS	702	yohK		COG1346	Inner membrane protein YohK
MEIMHKMB_00077	CDS	564				hypothetical protein
MEIMHKMB_00078	CDS	396				hypothetical protein
MEIMHKMB_00079	CDS	420				hypothetical protein
MEIMHKMB_00080	CDS	648				hypothetical protein
MEIMHKMB_00081	CDS	219				hypothetical protein
MEIMHKMB_00082	CDS	723	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
MEIMHKMB_00083	CDS	1425	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
MEIMHKMB_00084	CDS	600	sipS	3.4.21.89	COG0681	Signal peptidase I S
MEIMHKMB_00085	CDS	870	rbgA		COG1161	Ribosome biogenesis GTPase A
MEIMHKMB_00086	CDS	783	rnhB	3.1.26.4	COG0164	Ribonuclease HII
MEIMHKMB_00087	CDS	381	blaI		COG3682	Penicillinase repressor
MEIMHKMB_00088	CDS	1422				hypothetical protein
MEIMHKMB_00089	CDS	603				hypothetical protein
MEIMHKMB_00090	CDS	684				hypothetical protein
MEIMHKMB_00091	CDS	279				hypothetical protein
MEIMHKMB_00092	CDS	909				hypothetical protein
MEIMHKMB_00093	CDS	2061	topA	5.6.2.1		DNA topoisomerase 1
MEIMHKMB_00094	CDS	996	xerC_1		COG4974	Tyrosine recombinase XerC
MEIMHKMB_00095	CDS	525	clpQ	3.4.21.-	COG5405	ATP-dependent protease subunit ClpQ
MEIMHKMB_00096	CDS	708	clpY_1		COG1220	ATP-dependent protease ATPase subunit ClpY
MEIMHKMB_00097	CDS	684	clpY_2		COG1220	ATP-dependent protease ATPase subunit ClpY
MEIMHKMB_00098	CDS	882	lacX			Protein LacX, plasmid
MEIMHKMB_00099	CDS	1821	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
MEIMHKMB_00100	CDS	270	plsY_1	2.3.1.275		Glycerol-3-phosphate acyltransferase
MEIMHKMB_00101	CDS	384	plsY_2	2.3.1.275		Glycerol-3-phosphate acyltransferase
MEIMHKMB_00102	CDS	2088	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
MEIMHKMB_00103	CDS	2460	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
MEIMHKMB_00104	CDS	2229	pflB_1	2.3.1.54		Formate acetyltransferase
MEIMHKMB_00105	CDS	780	pflA	1.97.1.4		Pyruvate formate-lyase-activating enzyme
MEIMHKMB_00106	CDS	930	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
MEIMHKMB_00107	CDS	675	resA_1			Thiol-disulfide oxidoreductase ResA
MEIMHKMB_00108	CDS	1701	rqcH		COG1293	Rqc2 RqcH
MEIMHKMB_00109	CDS	981				hypothetical protein
MEIMHKMB_00110	CDS	876				hypothetical protein
MEIMHKMB_00111	CDS	792	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MEIMHKMB_00112	CDS	840				hypothetical protein
MEIMHKMB_00113	CDS	228	nrdH_2		COG0695	Glutaredoxin-like protein NrdH
MEIMHKMB_00114	CDS	1164	rhaR_1			HTH-type transcriptional activator RhaR
MEIMHKMB_00115	CDS	465	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
MEIMHKMB_00116	CDS	564				hypothetical protein
MEIMHKMB_00117	CDS	672	yncB	3.1.-.-	COG1525	Endonuclease YncB
MEIMHKMB_00118	CDS	975				hypothetical protein
MEIMHKMB_00119	CDS	177				hypothetical protein
MEIMHKMB_00120	CDS	1710				hypothetical protein
MEIMHKMB_00121	CDS	357				hypothetical protein
MEIMHKMB_00122	CDS	342				hypothetical protein
MEIMHKMB_00123	CDS	351				hypothetical protein
MEIMHKMB_00124	CDS	1335				hypothetical protein
MEIMHKMB_00125	CDS	765				hypothetical protein
MEIMHKMB_00126	CDS	1026				hypothetical protein
MEIMHKMB_00127	CDS	768	vanYB	3.4.17.-	COG1876	D-alanyl-D-alanine carboxypeptidase
MEIMHKMB_00128	CDS	387				hypothetical protein
MEIMHKMB_00129	CDS	855				hypothetical protein
MEIMHKMB_00130	CDS	450				hypothetical protein
MEIMHKMB_00131	CDS	522	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
MEIMHKMB_00132	CDS	1254	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
MEIMHKMB_00133	CDS	1284	adhE_2		COG1012	Aldehyde-alcohol dehydrogenase
MEIMHKMB_00134	CDS	1542	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
MEIMHKMB_00135	CDS	750	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
MEIMHKMB_00136	CDS	1062	adh	1.1.1.1	COG1063	Alcohol dehydrogenase
MEIMHKMB_00137	CDS	1833	lepA	3.6.5.-		Elongation factor 4
MEIMHKMB_00138	CDS	651	dnaJ_1		COG0484	Chaperone protein DnaJ
MEIMHKMB_00139	CDS	516	dnaJ_2			Chaperone protein DnaJ
MEIMHKMB_00140	CDS	1833	dnaK		COG0443	Chaperone protein DnaK
MEIMHKMB_00141	CDS	597	grpE			Protein GrpE
MEIMHKMB_00142	CDS	990	hrcA		COG1420	Heat-inducible transcription repressor HrcA
MEIMHKMB_00143	CDS	870				hypothetical protein
MEIMHKMB_00144	CDS	1173	hemW		COG0635	Heme chaperone HemW
MEIMHKMB_00145	CDS	948	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
MEIMHKMB_00146	CDS	930	truB	5.4.99.25		tRNA pseudouridine synthase B
MEIMHKMB_00147	CDS	2688	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
MEIMHKMB_00148	CDS	360	rbfA			Ribosome-binding factor A
MEIMHKMB_00149	CDS	1803	infB			Translation initiation factor IF-2
MEIMHKMB_00150	CDS	498				hypothetical protein
MEIMHKMB_00151	CDS	297	rplGA		COG1358	putative ribosomal protein YlxQ
MEIMHKMB_00152	CDS	306				hypothetical protein
MEIMHKMB_00153	CDS	1191	nusA		COG0195	Transcription termination/antitermination protein NusA
MEIMHKMB_00154	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
MEIMHKMB_00155	CDS	927	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
MEIMHKMB_00156	CDS	369	frr_1			Ribosome-recycling factor
MEIMHKMB_00157	CDS	162	frr_2		COG0233	Ribosome-recycling factor
MEIMHKMB_00158	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
MEIMHKMB_00159	CDS	882	tsf			Elongation factor Ts
MEIMHKMB_00160	CDS	765	rpsB		COG0052	30S ribosomal protein S2
MEIMHKMB_00161	CDS	1485	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
MEIMHKMB_00162	CDS	1263				hypothetical protein
MEIMHKMB_00163	CDS	582				hypothetical protein
MEIMHKMB_00164	CDS	993				hypothetical protein
MEIMHKMB_00165	CDS	615				hypothetical protein
MEIMHKMB_00166	CDS	1629				hypothetical protein
MEIMHKMB_00167	CDS	1140				hypothetical protein
MEIMHKMB_00168	CDS	2157	clpB_1		COG0542	Chaperone protein ClpB
MEIMHKMB_00169	CDS	279	clpB_2		COG0542	Chaperone protein ClpB
MEIMHKMB_00170	CDS	285	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
MEIMHKMB_00171	CDS	330	sufT			Fe-S protein maturation auxiliary factor SufT
MEIMHKMB_00172	CDS	810	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
MEIMHKMB_00173	CDS	2637				hypothetical protein
MEIMHKMB_00174	CDS	795				hypothetical protein
MEIMHKMB_00175	CDS	717				hypothetical protein
MEIMHKMB_00176	CDS	930	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
MEIMHKMB_00177	CDS	453	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
MEIMHKMB_00178	CDS	639				hypothetical protein
MEIMHKMB_00179	CDS	1404				hypothetical protein
MEIMHKMB_00180	CDS	717				hypothetical protein
MEIMHKMB_00181	CDS	2178				hypothetical protein
MEIMHKMB_00182	CDS	981	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MEIMHKMB_00183	CDS	1485				hypothetical protein
MEIMHKMB_00184	CDS	759	recO		COG1381	DNA repair protein RecO
MEIMHKMB_00185	CDS	906	era		COG1159	GTPase Era
MEIMHKMB_00186	CDS	420	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
MEIMHKMB_00187	CDS	531	ybeY	3.1.-.-		Endoribonuclease YbeY
MEIMHKMB_00188	CDS	2223	pgpH	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
MEIMHKMB_00189	CDS	987			COG1702	PhoH-like protein
MEIMHKMB_00190	CDS	444	yqeY		COG1610	putative protein YqeY
MEIMHKMB_00191	CDS	390	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MEIMHKMB_00192	CDS	1203	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
MEIMHKMB_00193	CDS	291				hypothetical protein
MEIMHKMB_00194	CDS	153				hypothetical protein
MEIMHKMB_00195	CDS	1593				hypothetical protein
MEIMHKMB_00196	CDS	285				hypothetical protein
MEIMHKMB_00197	CDS	282				hypothetical protein
MEIMHKMB_00198	CDS	264				hypothetical protein
MEIMHKMB_00199	CDS	537				hypothetical protein
MEIMHKMB_00200	CDS	213				hypothetical protein
MEIMHKMB_00201	CDS	1221				hypothetical protein
MEIMHKMB_00202	CDS	1335				hypothetical protein
MEIMHKMB_00203	CDS	2121				hypothetical protein
MEIMHKMB_00204	CDS	771				hypothetical protein
MEIMHKMB_00205	CDS	4341				hypothetical protein
MEIMHKMB_00206	CDS	399				hypothetical protein
MEIMHKMB_00207	CDS	615				hypothetical protein
MEIMHKMB_00208	CDS	492				hypothetical protein
MEIMHKMB_00209	CDS	420				hypothetical protein
MEIMHKMB_00210	CDS	351				hypothetical protein
MEIMHKMB_00211	CDS	360				hypothetical protein
MEIMHKMB_00212	CDS	1212				hypothetical protein
MEIMHKMB_00213	CDS	630				hypothetical protein
MEIMHKMB_00214	CDS	1287				hypothetical protein
MEIMHKMB_00215	CDS	177				hypothetical protein
MEIMHKMB_00216	CDS	1719				hypothetical protein
MEIMHKMB_00217	CDS	465				hypothetical protein
MEIMHKMB_00218	CDS	213				hypothetical protein
MEIMHKMB_00219	CDS	639				hypothetical protein
MEIMHKMB_00220	CDS	291				hypothetical protein
MEIMHKMB_00221	CDS	261				hypothetical protein
MEIMHKMB_00222	CDS	792				hypothetical protein
MEIMHKMB_00223	CDS	150				hypothetical protein
MEIMHKMB_00224	CDS	333				hypothetical protein
MEIMHKMB_00225	CDS	303				hypothetical protein
MEIMHKMB_00226	CDS	261				hypothetical protein
MEIMHKMB_00227	CDS	276				hypothetical protein
MEIMHKMB_00228	CDS	258				hypothetical protein
MEIMHKMB_00229	CDS	420				hypothetical protein
MEIMHKMB_00230	CDS	429				hypothetical protein
MEIMHKMB_00231	CDS	213				hypothetical protein
MEIMHKMB_00232	CDS	717				hypothetical protein
MEIMHKMB_00233	CDS	630				hypothetical protein
MEIMHKMB_00234	CDS	528				hypothetical protein
MEIMHKMB_00235	CDS	369				hypothetical protein
MEIMHKMB_00236	CDS	426				hypothetical protein
MEIMHKMB_00237	CDS	288	hsdR_1	3.1.21.3		Type I restriction enzyme EcoR124II R protein
MEIMHKMB_00238	CDS	324	hsdR_2	3.1.21.3		Type I restriction enzyme EcoR124II R protein
MEIMHKMB_00239	CDS	432	hsdR_3	3.1.21.3		Type I restriction enzyme EcoR124II R protein
MEIMHKMB_00240	CDS	300				hypothetical protein
MEIMHKMB_00241	CDS	366				hypothetical protein
MEIMHKMB_00242	CDS	432				hypothetical protein
MEIMHKMB_00243	CDS	348	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
MEIMHKMB_00244	CDS	267	ptsG_2	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
MEIMHKMB_00245	CDS	324				hypothetical protein
MEIMHKMB_00246	CDS	339	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
MEIMHKMB_00247	CDS	330				hypothetical protein
MEIMHKMB_00248	CDS	186				hypothetical protein
MEIMHKMB_00249	CDS	456	bltD	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
MEIMHKMB_00250	CDS	246				hypothetical protein
MEIMHKMB_00251	CDS	366				hypothetical protein
MEIMHKMB_00252	CDS	426				hypothetical protein
MEIMHKMB_00253	CDS	171				hypothetical protein
MEIMHKMB_00254	CDS	516				hypothetical protein
MEIMHKMB_00255	CDS	882				hypothetical protein
MEIMHKMB_00256	CDS	846				hypothetical protein
MEIMHKMB_00257	CDS	381				hypothetical protein
MEIMHKMB_00258	CDS	1905	zosA_1	3.6.3.-	COG2217	Zinc-transporting ATPase
MEIMHKMB_00259	CDS	429				hypothetical protein
MEIMHKMB_00260	CDS	651	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
MEIMHKMB_00261	CDS	417				hypothetical protein
MEIMHKMB_00262	CDS	231				hypothetical protein
MEIMHKMB_00263	CDS	312				hypothetical protein
MEIMHKMB_00264	CDS	1527	yheH_1	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
MEIMHKMB_00265	CDS	243				hypothetical protein
MEIMHKMB_00266	CDS	384	yheI_1	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
MEIMHKMB_00267	CDS	654	yheI_2	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
MEIMHKMB_00268	CDS	747	yheI_3	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
MEIMHKMB_00269	CDS	234				hypothetical protein
MEIMHKMB_00270	CDS	270	pepT_1	3.4.11.4	COG2195	Peptidase T
MEIMHKMB_00271	CDS	237				hypothetical protein
MEIMHKMB_00272	CDS	258				hypothetical protein
MEIMHKMB_00273	CDS	171				hypothetical protein
MEIMHKMB_00274	CDS	132				hypothetical protein
MEIMHKMB_00275	CDS	303				hypothetical protein
MEIMHKMB_00276	CDS	414				hypothetical protein
MEIMHKMB_00277	CDS	192				hypothetical protein
MEIMHKMB_00278	CDS	171				hypothetical protein
MEIMHKMB_00279	CDS	360				hypothetical protein
MEIMHKMB_00280	CDS	579				hypothetical protein
MEIMHKMB_00281	CDS	417				hypothetical protein
MEIMHKMB_00282	CDS	603				hypothetical protein
MEIMHKMB_00283	CDS	915				hypothetical protein
MEIMHKMB_00284	CDS	546				hypothetical protein
MEIMHKMB_00285	CDS	360				hypothetical protein
MEIMHKMB_00286	CDS	576				hypothetical protein
MEIMHKMB_00287	CDS	192				hypothetical protein
MEIMHKMB_00288	CDS	441				hypothetical protein
MEIMHKMB_00289	CDS	1371				hypothetical protein
MEIMHKMB_00290	CDS	1494	thrC	4.2.3.1	COG0498	Threonine synthase
MEIMHKMB_00291	CDS	702	ygaZ		COG1296	Inner membrane protein YgaZ
MEIMHKMB_00292	CDS	327				hypothetical protein
MEIMHKMB_00293	CDS	714				hypothetical protein
MEIMHKMB_00294	CDS	945				hypothetical protein
MEIMHKMB_00295	CDS	2961				hypothetical protein
MEIMHKMB_00296	tRNA	74				tRNA-Arg(cct)
MEIMHKMB_00297	CDS	984	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
MEIMHKMB_00298	CDS	627				hypothetical protein
MEIMHKMB_00299	CDS	810				hypothetical protein
MEIMHKMB_00300	CDS	396				hypothetical protein
MEIMHKMB_00301	CDS	660				hypothetical protein
MEIMHKMB_00302	CDS	867	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
MEIMHKMB_00303	CDS	399				hypothetical protein
MEIMHKMB_00304	CDS	486	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
MEIMHKMB_00305	CDS	309				hypothetical protein
MEIMHKMB_00306	CDS	264				hypothetical protein
MEIMHKMB_00307	CDS	402				hypothetical protein
MEIMHKMB_00308	CDS	336	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
MEIMHKMB_00309	CDS	186				hypothetical protein
MEIMHKMB_00310	CDS	285				hypothetical protein
MEIMHKMB_00311	CDS	654				hypothetical protein
MEIMHKMB_00312	CDS	570				hypothetical protein
MEIMHKMB_00313	CDS	1182	metK	2.5.1.6		S-adenosylmethionine synthase
MEIMHKMB_00314	CDS	801				hypothetical protein
MEIMHKMB_00315	CDS	144				hypothetical protein
MEIMHKMB_00316	CDS	384				hypothetical protein
MEIMHKMB_00317	CDS	279				hypothetical protein
MEIMHKMB_00318	CDS	216				hypothetical protein
MEIMHKMB_00319	CDS	3765				hypothetical protein
MEIMHKMB_00320	CDS	522				hypothetical protein
MEIMHKMB_00321	CDS	627				hypothetical protein
MEIMHKMB_00322	CDS	846			COG1307	DegV domain-containing protein
MEIMHKMB_00323	CDS	1215		2.3.1.9		putative acetyl-CoA acyltransferase
MEIMHKMB_00324	CDS	1065	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MEIMHKMB_00325	CDS	771				hypothetical protein
MEIMHKMB_00326	CDS	1815	uvrC		COG0322	UvrABC system protein C
MEIMHKMB_00327	CDS	693				hypothetical protein
MEIMHKMB_00328	CDS	1620	groL			60 kDa chaperonin
MEIMHKMB_00329	CDS	198	groS			10 kDa chaperonin
MEIMHKMB_00330	CDS	1233				hypothetical protein
MEIMHKMB_00331	CDS	1944	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase 1
