seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
contig_18499	4815	No terminal repeats	8	11	0.9961	NA	0	12.9222	NA	NA
contig_17355	3289	No terminal repeats	4	11	0.9953	NA	2	5.0923	NA	NA
contig_26177	12191	No terminal repeats	17	11	0.9949	NA	0	12.5525	NA	NA
contig_25427	13204	No terminal repeats	15	11	0.9948	NA	0	5.9679	NA	NA
contig_17052	3606	No terminal repeats	6	11	0.9947	NA	0	5.1532	NA	NA
contig_18382	3864	No terminal repeats	4	11	0.9947	NA	0	4.8758	NA	NA
contig_734	2608	No terminal repeats	4	11	0.9946	NA	0	3.0083	NA	NA
contig_16040	3414	No terminal repeats	3	11	0.9946	NA	0	3.7561	NA	NA
contig_25966	3458	No terminal repeats	6	11	0.9946	NA	1	4.4901	MOBV	NA
contig_15390	3190	No terminal repeats	2	11	0.9945	NA	0	3.4366	NA	NA
contig_25967	9005	No terminal repeats	12	11	0.9944	NA	0	6.9905	NA	NA
contig_25219	6081	No terminal repeats	5	11	0.9941	NA	0	2.2607	NA	NA
contig_15694	21399	No terminal repeats	27	11	0.9940	NA	1	14.6854	NA	NF000027;NF012176
contig_22811	6750	No terminal repeats	12	11	0.9939	NA	0	6.7641	NA	NA
contig_19688	3235	No terminal repeats	2	11	0.9939	NA	0	1.7183	NA	NA
contig_25836	12529	No terminal repeats	18	11	0.9939	NA	0	9.4934	NA	NA
contig_26102	9085	No terminal repeats	15	11	0.9938	NA	0	9.6762	NA	NA
contig_18711	8753	No terminal repeats	11	11	0.9938	NA	2	9.6283	MOBQ	NA
contig_11270	4664	No terminal repeats	7	11	0.9938	NA	0	2.6203	NA	NA
contig_8862	7584	No terminal repeats	8	11	0.9938	NA	3	2.8117	NA	NA
contig_8143	7594	No terminal repeats	14	11	0.9938	NA	0	6.6914	NA	NA
contig_11624	5194	No terminal repeats	4	11	0.9937	NA	0	2.9803	NA	NA
contig_12859	4941	No terminal repeats	6	11	0.9937	NA	1	3.4877	NA	NA
contig_11271	7330	No terminal repeats	11	11	0.9937	NA	1	5.5017	NA	NA
contig_5234	22002	No terminal repeats	21	11	0.9937	NA	1	11.8913	NA	NA
contig_23381	8282	No terminal repeats	13	11	0.9936	NA	0	2.7639	NA	NA
contig_16818	6362	No terminal repeats	9	11	0.9935	NA	0	2.8285	NA	NA
contig_16299	13556	No terminal repeats	22	11	0.9935	NA	2	6.8260	MOBT;MOBT;MOBT	NA
contig_5232	10641	No terminal repeats	14	11	0.9935	NA	1	8.2916	NA	NA
contig_17535	4772	No terminal repeats	16	11	0.9935	NA	0	6.3110	FATA_prgL	NA
contig_26140	23942	No terminal repeats	23	11	0.9934	NA	1	9.4545	NA	NA
contig_12318	7564	No terminal repeats	11	11	0.9934	NA	0	2.6203	NA	NA
contig_26214	8704	No terminal repeats	10	11	0.9934	NA	2	7.2721	NA	NA
contig_8671	42364	No terminal repeats	62	11	0.9934	NA	4	30.4221	FATA_trsF;FATA_trsD;FATA_trsC	NA
contig_24149	16455	No terminal repeats	23	11	0.9933	NA	4	16.6899	NA	NA
contig_16438	6632	No terminal repeats	12	11	0.9933	NA	0	5.1962	NA	NA
contig_11468	9229	No terminal repeats	12	11	0.9932	NA	0	3.3317	MOBV	NA
contig_26099	8927	No terminal repeats	10	11	0.9932	NA	0	3.9722	NA	NA
contig_9643	11989	No terminal repeats	23	11	0.9932	NA	4	13.9346	NA	NA
contig_6551	4611	No terminal repeats	6	11	0.9931	NA	0	6.6892	NA	NA
contig_9595	2685	No terminal repeats	5	11	0.9931	NA	0	3.4366	NA	NA
contig_913	2951	No terminal repeats	7	11	0.9931	NA	0	3.0083	NA	NA
contig_9856	13408	No terminal repeats	25	11	0.9931	NA	1	9.3327	NA	NA
contig_15247	5980	No terminal repeats	9	11	0.9930	NA	1	1.4271	NA	NA
contig_811	2846	No terminal repeats	4	11	0.9930	NA	0	2.2607	NA	NA
contig_14908	3600	No terminal repeats	5	11	0.9930	NA	0	2.1880	NA	NA
contig_23306	2616	No terminal repeats	4	11	0.9930	NA	0	2.8681	NA	NA
contig_8144	7033	No terminal repeats	13	11	0.9930	NA	0	5.2690	NA	NA
contig_681	3913	No terminal repeats	8	11	0.9930	NA	0	3.6831	NA	NA
contig_26211	7131	No terminal repeats	7	11	0.9930	NA	0	4.3793	NA	NA
contig_22105	5617	No terminal repeats	10	11	0.9930	NA	0	3.7559	NA	NA
contig_26101	4101	No terminal repeats	4	11	0.9929	NA	1	2.1457	MOBQ	NA
contig_3443	2589	No terminal repeats	2	11	0.9929	NA	0	1.1986	NA	NA
contig_14526	4257	DTR	2	11	0.9929	NA	2	1.8586	NA	NA
contig_606	5388	No terminal repeats	8	11	0.9928	NA	0	3.4779	NA	NA
contig_5233	17894	No terminal repeats	16	11	0.9928	NA	2	12.1629	MOBQ	NA
contig_776	3071	No terminal repeats	6	11	0.9928	NA	0	2.2607	NA	NA
contig_686	3103	No terminal repeats	6	11	0.9928	NA	0	3.0083	NA	NA
contig_829	2966	No terminal repeats	6	11	0.9927	NA	0	3.0083	NA	NA
contig_25544	23818	No terminal repeats	28	11	0.9927	NA	0	9.8206	NA	NA
contig_21502	4974	No terminal repeats	9	11	0.9927	NA	1	2.5380	NA	NA
contig_3515	2658	No terminal repeats	4	11	0.9926	NA	0	2.3973	NA	NA
contig_609	7818	No terminal repeats	18	11	0.9926	NA	0	6.6914	NA	NA
contig_13418	6309	No terminal repeats	11	11	0.9925	NA	0	5.4741	NA	NA
contig_7506	48868	No terminal repeats	67	11	0.9925	NA	18	31.3632	MOBH;I_traV;G_tfc23;G_tfc22;G_tfc19;G_tfc18;virb4;virb4;G_tfc15;G_tfc14;G_tfc13;G_tfc12;G_tfc8;G_tfc7;t4cp1;G_tfc5;G_tfc3;G_tfc3;G_tfc2	NA
contig_10736	13507	No terminal repeats	17	11	0.9925	NA	0	1.6723	NA	NA
contig_605	2804	No terminal repeats	5	11	0.9925	NA	0	3.0083	NA	NA
contig_693	4857	No terminal repeats	8	11	0.9925	NA	0	3.0083	NA	NA
contig_26073	3995	No terminal repeats	6	11	0.9924	NA	0	1.7183	NA	NA
contig_900	4505	No terminal repeats	11	11	0.9924	NA	0	4.4307	NA	NA
contig_20463	6960	No terminal repeats	14	11	0.9924	NA	0	5.1962	NA	NA
contig_24413	4815	No terminal repeats	6	11	0.9924	NA	0	3.3310	NA	NA
contig_4962	12354	No terminal repeats	14	11	0.9924	NA	0	4.9085	NA	NA
contig_10369	7226	No terminal repeats	9	11	0.9924	NA	1	3.9310	NA	NA
contig_10371	3663	No terminal repeats	4	11	0.9923	NA	1	1.7183	NA	NA
contig_859	3482	No terminal repeats	7	11	0.9923	NA	0	4.5034	NA	NA
contig_18381	6466	No terminal repeats	9	11	0.9923	NA	0	5.1548	NA	NA
contig_897	2685	No terminal repeats	6	11	0.9923	NA	0	2.1880	NA	NA
contig_14582	5313	No terminal repeats	7	11	0.9923	NA	0	3.3614	NA	NA
contig_17379	2847	No terminal repeats	8	11	0.9922	NA	1	1.7183	NA	NA
contig_15920	4612	DTR	10	11	0.9922	NA	0	4.7266	NA	NA
contig_20617	32248	No terminal repeats	36	11	0.9922	NA	0	7.9305	NA	NA
contig_6666	4573	DTR	9	11	0.9922	NA	0	3.7559	NA	NA
contig_25804	6858	No terminal repeats	10	11	0.9921	NA	0	1.7183	NA	NA
contig_26082	8572	No terminal repeats	11	11	0.9921	NA	2	4.6902	MOBQ;MOBQ	NA
contig_4687	6164	No terminal repeats	8	11	0.9921	NA	0	1.7411	NA	NA
contig_25710	9617	No terminal repeats	13	11	0.9921	NA	0	5.0621	NA	NF000027
contig_21188	6600	No terminal repeats	14	11	0.9921	NA	0	5.0458	NA	NA
contig_23711	7691	No terminal repeats	12	11	0.9919	NA	0	1.7183	NA	NA
contig_16791	7257	No terminal repeats	11	11	0.9919	NA	1	2.8819	t4cp1	NA
contig_10155	3518	No terminal repeats	7	11	0.9919	NA	0	3.0083	NA	NA
contig_603	3674	No terminal repeats	8	11	0.9919	NA	0	2.9355	NA	NA
contig_907	4317	No terminal repeats	9	11	0.9919	NA	0	3.6831	NA	NA
contig_26215	10037	No terminal repeats	16	11	0.9919	NA	0	2.6260	NA	NA
contig_10581	14717	No terminal repeats	26	11	0.9918	NA	1	5.6629	NA	NF040806
contig_11371	8981	No terminal repeats	14	11	0.9918	NA	0	4.8407	NA	NA
contig_2827	44318	No terminal repeats	49	4	0.9918	NA	1	12.9567	MOBP2	NA
contig_896	3784	No terminal repeats	8	11	0.9918	NA	0	3.0083	NA	NA
contig_20093	3959	No terminal repeats	8	11	0.9918	NA	0	3.0083	NA	NA
contig_5239	9422	No terminal repeats	9	11	0.9918	NA	0	1.7183	NA	NA
contig_6767	14100	No terminal repeats	17	11	0.9917	NA	0	11.3719	NA	NA
contig_11469	3642	No terminal repeats	4	11	0.9917	NA	0	1.7183	NA	NA
contig_28	5541	No terminal repeats	10	11	0.9917	NA	0	3.4779	NA	NA
contig_6665	4036	No terminal repeats	7	11	0.9916	NA	0	2.9355	NA	NA
contig_25359	11579	No terminal repeats	23	11	0.9916	NA	1	5.9158	NA	NA
contig_25855	6009	No terminal repeats	7	11	0.9916	NA	2	2.1070	MOBV;MOBV	NA
contig_607	6488	No terminal repeats	12	11	0.9916	NA	0	4.6952	NA	NA
contig_7864	16995	No terminal repeats	20	11	0.9916	NA	0	6.8731	NA	NA
contig_25159	7936	No terminal repeats	9	11	0.9915	NA	0	3.0886	NA	NA
contig_15020	2897	No terminal repeats	6	11	0.9915	NA	0	3.0083	NA	NA
contig_18304	7635	No terminal repeats	14	11	0.9915	NA	0	5.0458	NA	NA
contig_21501	7169	No terminal repeats	9	11	0.9915	NA	1	2.5380	NA	NA
contig_7821	5449	No terminal repeats	10	11	0.9915	NA	0	5.2510	NA	NA
contig_8005	4915	No terminal repeats	9	11	0.9914	NA	0	3.4366	NA	NA
contig_9416	4697	No terminal repeats	9	11	0.9914	NA	0	3.0083	NA	NA
contig_24414	11072	No terminal repeats	15	11	0.9914	NA	0	3.4366	NA	NA
contig_7911	5032	No terminal repeats	10	11	0.9914	NA	0	3.0083	NA	NA
contig_14481	8234	No terminal repeats	13	11	0.9914	NA	3	3.9615	NA	NF040806
contig_26000	21993	No terminal repeats	28	11	0.9913	NA	7	11.2573	MOBQ;MOBQ;MOBQ	NA
contig_804	3093	No terminal repeats	6	11	0.9913	NA	0	2.2607	NA	NA
contig_16101	4648	No terminal repeats	8	11	0.9913	NA	0	3.0083	NA	NA
contig_7244	5250	No terminal repeats	12	11	0.9913	NA	0	5.2510	NA	NA
contig_13258	23151	No terminal repeats	34	11	0.9913	NA	1	7.3075	FATA_prgL;FATA_cd411	NA
contig_22348	7580	No terminal repeats	17	11	0.9913	NA	0	5.9438	NA	NA
contig_8293	5346	No terminal repeats	11	11	0.9912	NA	0	4.2255	NA	NA
